W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.55,61,-12.08249163,-8.745026295,2112.201248,5.539712545,141.4580222,-6.355297942,-58.12729545
0.55,61.05,-12.09245377,-8.638218339,2114.439942,5.542983231,141.4377182,-8.323214715,-59.35484264
0.55,61.1,-12.06011451,-8.539297866,2116.67812,5.546255996,141.4175244,-10.24866328,-60.79947257
0.55,61.15,-11.98530953,-8.456945353,2118.915786,5.549530833,141.3974402,-12.21643393,-62.44087257
0.55,61.2,-11.87178863,-8.398666177,2121.15294,5.552807732,141.3774651,-14.30250499,-64.24319373
0.55,61.25,-11.72605823,-8.370114533,2123.389585,5.556086687,141.3575988,-16.5669249,-66.15836257
0.55,61.3,-11.55612157,-8.374652913,2125.625721,5.559367689,141.3378408,-19.05133093,-68.13071426
0.55,61.35,-11.37043287,-8.413202785,2127.861352,5.562650729,141.3181906,-21.77987055,-70.10216676
0.55,61.4,-11.17718016,-8.484379594,2130.096477,5.565935801,141.2986478,-24.76185951,-72.01709372
0.55,61.45,-10.98386652,-8.584848449,2132.3311,5.569222896,141.279212,-27.99486239,-73.82621748
0.55,61.5,-10.7970989,-8.709804399,2134.565221,5.572512006,141.2598827,-31.46748007,-75.48916282
0.55,61.55,-10.62249382,-8.853479882,2136.798842,5.575803124,141.2406595,-35.16162683,-76.97565941
0.55,61.6,-10.46463726,-9.009605397,2139.031965,5.579096242,141.2215419,-39.05436713,-78.26564087
0.55,61.65,-10.3270682,-9.171783411,2141.264591,5.582391352,141.2025296,-43.11948404,-79.34860696
0.55,61.7,-10.21227959,-9.333766849,2143.496723,5.585688446,141.183622,-47.32893436,-80.22260552
0.55,61.75,-10.12174466,-9.489654563,2145.72836,5.588987517,141.1648189,-51.654271,-80.89310351
0.55,61.8,-10.05597991,-9.634025678,2147.959506,5.592288557,141.1461196,-56.06802867,-81.37190387
0.55,61.85,-10.01465186,-9.762034996,2150.190162,5.595591559,141.1275239,-60.54500198,-81.67616564
0.55,61.9,-9.996726979,-9.869486375,2152.420328,5.598896515,141.1090314,-65.06331493,-81.82751562
0.55,61.95,-10.00065511,-9.952893532,2154.650008,5.602203418,141.0906415,-69.60518662,-81.85120509
0.55,62,-10.02457099,-10.00953046,2156.879202,5.60551226,141.0723539,-74.15733303,-81.77526042
